Feature_002,Feature_003,Feature_004,Feature_005,Feature_006,Feature_007,Feature_008,Feature_009,Feature_010,Feature_011,Feature_012,Feature_013,Feature_014,Feature_015,Feature_016,Feature_017,Feature_018,Feature_019,Feature_020,Feature_023,Feature_024,Feature_025,Feature_026,Feature_028,Feature_029,Feature_030,Feature_031,Feature_001__time_bucket,Feature_021,Feature_022,Feature_027,Feature_001__hour,Missing_Count,Feature_022_is_outlier
Tuesday,18-30,Male,Elementary school,Employee,1-2yr,Other,Owner,2-5yrs,No defect,Office areas,Undivided Two way,Tangent road with mountainous terrain and,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,Driver or rider,Female,Over 51,Driver,Normal,Not a Pedestrian,Turnover,evening,2.0,3.0,3.0,19.0,0.0,0.0
Friday,Under 18,Male,Above high school,Employee,2-5yr,Public (13?45 seats),Owner,__MISSING__,__MISSING__,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with roadside objects,Going straight,__MISSING__,__MISSING__,__MISSING__,Driver,Normal,Not a Pedestrian,No priority to vehicle,evening,1.0,2.0,,22.0,6.0,0.0
Friday,31-50,Male,Junior high school,Employee,Above 10yr,Public (12 seats),Owner,__MISSING__,No defect,School areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,Going straight,Pedestrian,Female,Over 51,Self-employed,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No priority to vehicle,morning,2.0,2.0,2.0,11.0,1.0,0.0
Friday,__MISSING__,Male,Junior high school,Owner,5-10yr,__MISSING__,Owner,2-5yrs,No defect,Church areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Rollover,U-Turn,Driver or rider,Male,31-50,Other,Normal,Not a Pedestrian,Changing lane to the right,morning,2.0,1.0,3.0,7.0,2.0,0.0
Friday,31-50,Male,High school,Employee,2-5yr,Automobile,Owner,__MISSING__,No defect,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,Going straight,__MISSING__,__MISSING__,__MISSING__,Driver,Normal,Not a Pedestrian,No distancing,afternoon,2.0,1.0,,17.0,5.0,0.0
Thursday,18-30,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,2-5yrs,No defect,Church areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,__MISSING__,Going straight,Passenger,Female,Over 51,__MISSING__,__MISSING__,Not a Pedestrian,Driving to the left,morning,2.0,1.0,3.0,10.0,3.0,0.0
Tuesday,18-30,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,1-2yr,__MISSING__,School areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,__MISSING__,Collision with roadside objects,Going straight,Pedestrian,Female,31-50,__MISSING__,__MISSING__,Unknown or other,No distancing,morning,2.0,1.0,2.0,7.0,4.0,0.0
Friday,18-30,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,5-10yrs,No defect,Other,other,Tangent road with flat terrain,__MISSING__,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Reversing,__MISSING__,__MISSING__,__MISSING__,__MISSING__,Normal,Not a Pedestrian,Changing lane to the right,evening,2.0,1.0,,18.0,6.0,0.0
Saturday,31-50,Male,High school,Owner,Above 10yr,Automobile,Owner,5-10yrs,No defect,Office areas,Two-way (divided with broken lines road marking),__MISSING__,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Passenger,Male,31-50,Driver,Normal,Not a Pedestrian,Changing lane to the right,afternoon,2.0,3.0,3.0,15.0,1.0,0.0
Thursday,18-30,Male,Junior high school,Employee,Above 10yr,Stationwagen,Owner,2-5yrs,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,__MISSING__,Moving Backward,__MISSING__,__MISSING__,__MISSING__,Driver,Normal,Not a Pedestrian,No distancing,evening,3.0,2.0,,20.0,5.0,0.0
Monday,18-30,Male,Elementary school,Employee,2-5yr,Other,Owner,__MISSING__,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,__MISSING__,__MISSING__,__MISSING__,Driver,Normal,Not a Pedestrian,No distancing,afternoon,2.0,1.0,,15.0,5.0,0.0
Wednesday,__MISSING__,Female,Junior high school,Employee,2-5yr,Automobile,Owner,5-10yrs,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Moving Backward,__MISSING__,__MISSING__,__MISSING__,Self-employed,Normal,Not a Pedestrian,Overtaking,afternoon,2.0,1.0,,17.0,5.0,0.0
Saturday,__MISSING__,Male,Junior high school,Employee,Below 1yr,Public (13?45 seats),Owner,5-10yrs,__MISSING__,Church areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Other,Driver or rider,Male,18-30,Driver,Normal,Not a Pedestrian,Changing lane to the left,evening,4.0,3.0,3.0,20.0,2.0,0.0
Monday,Over 51,Male,Junior high school,Employee,2-5yr,Public (12 seats),Owner,1-2yr,No defect,Industrial areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Pedestrian,Female,Over 51,Driver,Normal,"In carriageway, statioNot a Pedestrianry - not crossing (standing or playing)",No priority to pedestrian,evening,2.0,1.0,3.0,19.0,0.0,0.0
Monday,31-50,Male,Junior high school,__MISSING__,5-10yr,Lorry (41?100Q),Governmental,Above 10yr,No defect,School areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Gravel roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Passenger,Female,18-30,Driver,Normal,Not a Pedestrian,No priority to vehicle,afternoon,2.0,6.0,3.0,12.0,1.0,1.0
Saturday,18-30,Male,Junior high school,Employee,5-10yr,__MISSING__,Owner,5-10yrs,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Pedestrian,Male,Under 18,Self-employed,Normal,Crossing from driver's nearside,No priority to vehicle,evening,2.0,1.0,3.0,18.0,1.0,0.0
Thursday,__MISSING__,Female,Junior high school,Employee,Below 1yr,Automobile,Owner,__MISSING__,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver or rider,Male,18-30,__MISSING__,__MISSING__,Not a Pedestrian,Driving under the influence of drugs,afternoon,3.0,4.0,3.0,17.0,4.0,1.0
Friday,31-50,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,__MISSING__,__MISSING__,School areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,__MISSING__,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,__MISSING__,__MISSING__,__MISSING__,Driver,Normal,Not a Pedestrian,Moving Backward,morning,2.0,3.0,,9.0,7.0,0.0
Wednesday,__MISSING__,Female,Elementary school,Employee,5-10yr,Pick up upto 10Q,Owner,__MISSING__,No defect,Office areas,__MISSING__,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,__MISSING__,Driver or rider,Female,18-30,__MISSING__,__MISSING__,Not a Pedestrian,No distancing,morning,1.0,1.0,3.0,10.0,6.0,0.0
Saturday,31-50,Male,Elementary school,Employee,Below 1yr,Automobile,Owner,1-2yr,No defect,Office areas,Undivided Two way,Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,Reversing,Pedestrian,Male,Under 18,__MISSING__,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No priority to vehicle,morning,2.0,1.0,3.0,11.0,1.0,0.0
Thursday,18-30,Male,Junior high school,Employee,1-2yr,Taxi,Owner,2-5yrs,__MISSING__,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,Stopping,Driver or rider,Male,18-30,__MISSING__,__MISSING__,Not a Pedestrian,No distancing,evening,2.0,3.0,3.0,19.0,3.0,0.0
Monday,31-50,Male,Junior high school,Owner,5-10yr,Lorry (41?100Q),Owner,__MISSING__,No defect,Other,Undivided Two way,Tangent road with flat terrain,__MISSING__,Asphalt roads,Wet or damp,Darkness - lights unlit,Normal,Vehicle with vehicle collision,Going straight,__MISSING__,__MISSING__,__MISSING__,Other,Normal,Not a Pedestrian,Changing lane to the right,afternoon,2.0,2.0,,16.0,6.0,0.0
Friday,Under 18,Male,High school,Employee,1-2yr,Automobile,Governmental,__MISSING__,No defect,Other,Two-way (divided with solid lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Pedestrian,Female,18-30,Driver,Normal,"In carriageway, statioNot a Pedestrianry - not crossing (standing or playing)",Changing lane to the left,morning,2.0,1.0,3.0,9.0,1.0,0.0
Wednesday,18-30,Male,Elementary school,Employee,2-5yr,Lorry (41?100Q),Owner,5-10yrs,__MISSING__,Other,One way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver or rider,Male,18-30,Driver,Normal,Not a Pedestrian,Changing lane to the right,afternoon,3.0,1.0,3.0,12.0,1.0,0.0
Saturday,Over 51,Male,Elementary school,Employee,Above 10yr,Pick up upto 10Q,Owner,Above 10yr,__MISSING__,Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - no lighting,Raining,Vehicle with vehicle collision,Going straight,Driver or rider,Male,Under 18,Driver,Normal,Not a Pedestrian,Changing lane to the left,afternoon,1.0,1.0,3.0,17.0,1.0,0.0
Monday,Over 51,Male,Junior high school,Employee,2-5yr,Public (13?45 seats),Owner,__MISSING__,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,Driver or rider,Female,31-50,Self-employed,Normal,Not a Pedestrian,Changing lane to the right,evening,2.0,1.0,3.0,23.0,1.0,0.0
Thursday,Over 51,Male,Junior high school,Employee,1-2yr,Automobile,Owner,__MISSING__,__MISSING__,Church areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Pedestrian,Male,31-50,Driver,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No priority to pedestrian,afternoon,2.0,2.0,3.0,15.0,2.0,0.0
Sunday,18-30,Male,__MISSING__,__MISSING__,__MISSING__,__MISSING__,Owner,__MISSING__,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,__MISSING__,Going straight,Pedestrian,Male,Over 51,__MISSING__,__MISSING__,Not a Pedestrian,No distancing,afternoon,1.0,1.0,2.0,16.0,8.0,0.0
Thursday,__MISSING__,Male,Junior high school,Employee,Above 10yr,Public (12 seats),Governmental,__MISSING__,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - no lighting,__MISSING__,Vehicle with vehicle collision,Moving Backward,__MISSING__,__MISSING__,__MISSING__,Other,Normal,Not a Pedestrian,No distancing,evening,2.0,1.0,,21.0,7.0,0.0
Tuesday,18-30,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Governmental,5-10yrs,No defect,Other,Undivided Two way,Tangent road with flat terrain,__MISSING__,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,__MISSING__,__MISSING__,__MISSING__,Driver,Normal,Not a Pedestrian,Changing lane to the left,evening,2.0,2.0,,20.0,5.0,0.0
Friday,Over 51,Male,Junior high school,Employee,1-2yr,Automobile,Owner,__MISSING__,__MISSING__,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,Not a Pedestrian,Other,evening,1.0,1.0,,19.0,8.0,0.0
Saturday,31-50,Male,Junior high school,Employee,1-2yr,__MISSING__,__MISSING__,__MISSING__,__MISSING__,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Reversing,Passenger,Male,Over 51,Driver,Normal,Not a Pedestrian,Driving carelessly,afternoon,2.0,1.0,3.0,13.0,4.0,0.0
Friday,18-30,Male,Junior high school,Employee,Above 10yr,Motorcycle,Owner,5-10yrs,No defect,Office areas,Two-way (divided with broken lines road marking),__MISSING__,Other,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Pedestrian,Female,Over 51,Driver,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Other,morning,2.0,1.0,3.0,7.0,1.0,0.0
Thursday,__MISSING__,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,2-5yrs,No defect,Other,Undivided Two way,Tangent road with mountainous terrain and,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with animals,Going straight,Driver or rider,Male,18-30,Driver,Normal,Not a Pedestrian,No priority to pedestrian,afternoon,2.0,1.0,3.0,13.0,1.0,0.0
Wednesday,__MISSING__,Male,__MISSING__,__MISSING__,__MISSING__,__MISSING__,Owner,5-10yrs,5,Church areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,Going straight,Driver or rider,Male,18-30,Driver,Normal,Not a Pedestrian,No priority to vehicle,evening,2.0,1.0,3.0,22.0,5.0,0.0
Saturday,18-30,Male,Elementary school,Employee,2-5yr,Automobile,Owner,__MISSING__,No defect,Church areas,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Rollover,Moving Backward,Driver or rider,Male,18-30,Employee,Normal,Not a Pedestrian,Driving carelessly,evening,2.0,4.0,3.0,22.0,1.0,1.0
Monday,__MISSING__,Male,Elementary school,Employee,5-10yr,Automobile,Governmental,__MISSING__,No defect,Church areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,__MISSING__,Driver or rider,Male,31-50,Employee,Normal,Not a Pedestrian,No distancing,morning,2.0,1.0,3.0,8.0,3.0,0.0
Saturday,31-50,Male,Junior high school,Employee,Above 10yr,Automobile,Organization,2-5yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,__MISSING__,__MISSING__,__MISSING__,Self-employed,Normal,Not a Pedestrian,Other,afternoon,1.0,1.0,,13.0,4.0,0.0
Friday,31-50,Male,High school,Owner,5-10yr,Public (12 seats),Owner,Above 10yr,__MISSING__,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,Driver or rider,Male,31-50,__MISSING__,__MISSING__,Not a Pedestrian,Driving to the left,evening,1.0,2.0,3.0,23.0,3.0,0.0
Friday,31-50,Male,Above high school,Other,2-5yr,Public (13?45 seats),__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Pedestrian,Female,31-50,Other,Normal,Unknown or other,No distancing,morning,1.0,1.0,3.0,9.0,6.0,0.0
Tuesday,31-50,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,5-10yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - no lighting,Raining,Vehicle with vehicle collision,Turnover,__MISSING__,__MISSING__,__MISSING__,Driver,Normal,Not a Pedestrian,Changing lane to the left,afternoon,3.0,1.0,,16.0,4.0,0.0
Thursday,31-50,Male,__MISSING__,Employee,__MISSING__,Automobile,Owner,Above 10yr,No defect,Church areas,Undivided Two way,Sharp reverse curve,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,__MISSING__,Pedestrian,Male,18-30,__MISSING__,__MISSING__,Not a Pedestrian,Changing lane to the left,afternoon,2.0,1.0,2.0,14.0,5.0,0.0
Tuesday,18-30,Male,Junior high school,Employee,Below 1yr,Automobile,Owner,__MISSING__,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Other,Vehicle with vehicle collision,Going straight,__MISSING__,__MISSING__,__MISSING__,Self-employed,Normal,Not a Pedestrian,Driving under the influence of drugs,evening,2.0,1.0,,19.0,5.0,0.0
Friday,Over 51,Male,__MISSING__,Employee,1-2yr,Public (13?45 seats),Owner,__MISSING__,No defect,Church areas,Double carriageway (median),Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,Going straight,__MISSING__,__MISSING__,__MISSING__,Driver,Normal,Not a Pedestrian,Overtaking,afternoon,1.0,1.0,,14.0,6.0,0.0
Friday,31-50,Male,Junior high school,Employee,5-10yr,Public (13?45 seats),Governmental,Above 10yr,No defect,Residential areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,Going straight,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,Not a Pedestrian,Changing lane to the left,morning,2.0,1.0,,8.0,6.0,0.0
Saturday,31-50,Male,Junior high school,Employee,Below 1yr,Automobile,Owner,Above 10yr,No defect,Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,__MISSING__,__MISSING__,__MISSING__,Driver,Normal,Not a Pedestrian,Overturning,afternoon,2.0,1.0,,14.0,4.0,0.0
Thursday,31-50,Male,Elementary school,Employee,2-5yr,Lorry (41?100Q),Owner,__MISSING__,__MISSING__,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,Moving Backward,Driver or rider,Male,18-30,__MISSING__,Normal,Not a Pedestrian,Moving Backward,afternoon,2.0,3.0,3.0,17.0,3.0,0.0
Sunday,18-30,Male,Junior high school,Employee,2-5yr,Public (12 seats),Owner,__MISSING__,__MISSING__,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Pedestrian,Male,Under 18,Employee,Normal,Not a Pedestrian,No priority to pedestrian,evening,2.0,1.0,3.0,19.0,2.0,0.0
